_id,vendorId,itemName,itemDescription,accountId,accountName,itemTotalAmount,is_synthetic
{'$oid': '69606546de1e297ec29890f2'},6m656Er7lbi8RYz2ny1J,1225 Business 2Gbps - monthly subscription fee,1225 Business 2Gbps - monthly subscription fee,88AW5nmkLvMe1GthZ6FL,619206 Telephone & Internet,888.0,False
{'$oid': '695b5304d09b4ceb96e5288e'},VtxikZ7HI6Jwqueemjch,1225-0227 media monitoring,1225-0227 media monitoring,sWG9pai5DiLXaKs6s86G,134004 Prepaid Subscription,17765.0,False
{'$oid': '69800f97e85d532c0db71c7e'},jdmr9pJ0WHqso4Wh3hCa,0226 Branch,0226 Branch,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,7083.34,False
{'$oid': '6981a56e83888e7f4589cf09'},A17M26ij1P8uGEnRFtP0,0126 GAM (SG),0126 GAM (SG),IbDOq9NsCcO8rSg7Uk1y,511301 Display COGS,2609.11,False
{'$oid': '6981a56e83888e7f4589cf09'},A17M26ij1P8uGEnRFtP0,0126 GAM (Chotot & Mudah),0126 GAM (Chotot & Mudah),w5hjK0IooxdDp9Feeeuy,132098 IC Clearing account - Paid on Behalf,1243.22,False
{'$oid': '6983fc9fff33e42db83da65c'},bfN8jYCNYKQFk7yN2vvN,0126 SG Trade Desk_Media Fee/Platform Fee,0126 SG Trade Desk_Media Fee/Platform Fee,zZaeAsNwbZ5lMl2XSTHr,511606 Audience Extension,2411.66,False
{'$oid': '6983fcf0ff33e42db83dac8f'},bfN8jYCNYKQFk7yN2vvN,1225 SG Trade Desk_Media Fee/Platform Fee,1225 SG Trade Desk_Media Fee/Platform Fee,zZaeAsNwbZ5lMl2XSTHr,511606 Audience Extension,552.12,False
{'$oid': '6989bff64ec5be5478eb8a46'},VZTKO8qxnAZ6ZR8GUVXn,0226 Foursquare API Access,0226 Foursquare API Access,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,5000.0,False
{'$oid': '6989b35f4ec5be5478eb2489'},Hj42ZEGzc7Yt82Ph7BWW,Dec 2025 - Dec 2026,0126 Temporal,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,392.02,False
{'$oid': '696f206cc1e9794ae68995af'},CZU8x9iibW6yfBz8IAh3,0226 - Billing for the agreement number: L00043681,0226 Rental Charges - billing for the agreement number: L00043681,yVYh9rM5LJ2hMTCoWso8,619209 Others,650.0,False
{'$oid': '69805ebae85d532c0dbbf02a'},93MukVO1pkD91pbJEc7A,2602 Telum Media Sub,0326 -  0227 Telum Media Sub,vNCPOlaDL0NMQTi5ca5Q,134001 Prepaid Operating Expense,12095.0,False
{'$oid': '6981a68883888e7f4589de58'},0LvGmwBxxm9uBQIncwaE,0126 Tercept + Transaction Fee,0126 Tercept + Transaction Fee,IbDOq9NsCcO8rSg7Uk1y,511301 Display COGS,330.0,False
{'$oid': '6989bb094ec5be5478eb6cf9'},L0ylCmwzBrhx2FHqnIXe,0126 BBX Espresso Blend (1kg),0126 BBX Espresso Blend (1kg),yFhZwEaA6CkzsZ7lDVC6,619203 Supplies/Expenses,175.0,False
{'$oid': '697046f2c1e9794ae68e46ab'},xUKlwkMOsbfP3e4X8JDc,0126 VCA - Domain renewals - KAROSELL.CO,0126 VCA - Domain renewals - KAROSELL.CO,C0SB5vR0gCikdKjmT8Ep,611202 Online Subscription/Tool,290.94,False
